City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-honore,14.5094,-92.1933,87.98,59.0,0.0,13.15,GT,1675893287.0
1,saint-honore,-16.4833,-151.75,80.64,73.0,17.0,11.1,PF,1675892847.0
2,saint-honore,-46.6,168.3333,50.81,57.0,71.0,20.94,NZ,1675892841.0
3,saint-honore,-34.4187,19.2345,68.81,77.0,0.0,16.71,ZA,1675892828.0
4,saint-honore,-21.2078,-159.775,84.25,70.0,40.0,12.66,CK,1675892829.0
5,saint-honore,-38.0023,-57.5575,78.82,64.0,0.0,13.8,AR,1675892836.0
6,saint-honore,-46.1927,168.8643,50.49,90.0,97.0,8.32,NZ,1675892872.0
7,saint-honore,43.2126,13.2901,36.77,85.0,76.0,2.66,IT,1675893288.0
8,saint-honore,58.8053,-122.7002,21.94,53.0,40.0,3.44,CA,1675893052.0
9,saint-honore,,,,,,,,
10,saint-honore,71.9167,114.0833,-39.51,100.0,89.0,5.91,RU,1675892901.0
11,saint-honore,-42.8794,147.3294,59.05,76.0,75.0,4.61,AU,1675892666.0
12,saint-honore,-46.2817,169.8464,50.79,76.0,65.0,13.71,NZ,1675892900.0
13,saint-honore,19.7297,-155.09,76.28,82.0,100.0,11.5,US,1675892827.0
14,saint-honore,71.9667,102.5,-45.13,100.0,61.0,4.23,RU,1675892673.0
15,saint-honore,-21.2,-175.2,82.56,89.0,75.0,10.36,TO,1675892820.0
16,saint-honore,-9.1061,124.8925,73.02,92.0,99.0,1.12,ID,1675893290.0
17,saint-honore,58.9848,-2.9587,41.05,75.0,40.0,27.63,GB,1675893291.0
18,saint-honore,32.6881,128.8419,52.0,56.0,99.0,16.49,JP,1675893291.0
19,saint-honore,,,,,,,,
20,saint-honore,45.0205,-93.218,44.53,55.0,0.0,10.36,US,1675893019.0
21,saint-honore,39.447,-86.1758,51.91,59.0,100.0,3.78,US,1675893292.0
22,saint-honore,-33.65,115.3333,57.99,91.0,2.0,11.36,AU,1675892862.0
23,saint-honore,62.456,-114.3525,-4.45,84.0,0.0,9.22,CA,1675892781.0
24,saint-honore,44.6453,-63.5724,37.89,71.0,100.0,13.8,CA,1675893159.0
25,saint-honore,-39.4833,176.9167,69.28,50.0,1.0,3.0,NZ,1675893293.0
26,saint-honore,42.097,-79.2353,42.44,56.0,0.0,4.61,US,1675892855.0
27,saint-honore,-23.1203,-134.9692,79.83,73.0,26.0,13.69,PF,1675892823.0
28,saint-honore,-17.4667,16.3333,70.14,47.0,99.0,5.95,NA,1675893294.0
29,saint-honore,-21.3585,55.7679,74.79,86.0,78.0,11.07,RE,1675892988.0
